ID,Name,Typings,Stats,Abilities,Evolution_condition,Rarity,Region
0030,Nidorina,Poison ,"{'Total': '365', 'HP': '70', 'Attack': '62', 'Defense': '67', 'Sp. Atk': '55', 'Sp. Def': '55', 'Speed': '56'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0031,Nidoqueen,Poison Ground,"{'Total': '505', 'HP': '90', 'Attack': '92', 'Defense': '87', 'Sp. Atk': '75', 'Sp. Def': '85', 'Speed': '76'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0032,Nidoran♂,Poison ,"{'Total': '273', 'HP': '46', 'Attack': '57', 'Defense': '40', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '50'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0033,Nidorino,Poison ,"{'Total': '365', 'HP': '61', 'Attack': '72', 'Defense': '57', 'Sp. Atk': '55', 'Sp. Def': '55', 'Speed': '65'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0034,Nidoking,Poison Ground,"{'Total': '505', 'HP': '81', 'Attack': '102', 'Defense': '77', 'Sp. Atk': '85', 'Sp. Def': '75', 'Speed': '85'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0035,Clefairy,Fairy ,"{'Total': '323', 'HP': '70', 'Attack': '45', 'Defense': '48', 'Sp. Atk': '60', 'Sp. Def': '65', 'Speed': '35'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0036,Clefable,Fairy ,"{'Total': '483', 'HP': '95', 'Attack': '70', 'Defense': '73', 'Sp. Atk': '95', 'Sp. Def': '90', 'Speed': '60'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0037,Vulpix,Fire ,"{'Total': '299', 'HP': '38', 'Attack': '41', 'Defense': '40', 'Sp. Atk': '50', 'Sp. Def': '65', 'Speed': '65'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0037,Vulpix Alolan Vulpix,Ice ,"{'Total': '299', 'HP': '38', 'Attack': '41', 'Defense': '40', 'Sp. Atk': '50', 'Sp. Def': '65', 'Speed': '65'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0038,Ninetales,Fire ,"{'Total': '505', 'HP': '73', 'Attack': '76', 'Defense': '75', 'Sp. Atk': '81', 'Sp. Def': '100', 'Speed': '100'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0038,Ninetales Alolan Ninetales,Ice Fairy,"{'Total': '505', 'HP': '73', 'Attack': '67', 'Defense': '75', 'Sp. Atk': '81', 'Sp. Def': '100', 'Speed': '109'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0039,Jigglypuff,Normal Fairy,"{'Total': '270', 'HP': '115', 'Attack': '45', 'Defense': '20', 'Sp. Atk': '45', 'Sp. Def': '25', 'Speed': '20'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0040,Wigglytuff,Normal Fairy,"{'Total': '435', 'HP': '140', 'Attack': '70', 'Defense': '45', 'Sp. Atk': '85', 'Sp. Def': '50', 'Speed': '45'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0041,Zubat,Poison Flying,"{'Total': '245', 'HP': '40', 'Attack': '45', 'Defense': '35', 'Sp. Atk': '30', 'Sp. Def': '40', 'Speed': '55'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0042,Golbat,Poison Flying,"{'Total': '455', 'HP': '75', 'Attack': '80', 'Defense': '70', 'Sp. Atk': '65', 'Sp. Def': '75', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0043,Oddish,Grass Poison,"{'Total': '320', 'HP': '45', 'Attack': '50', 'Defense': '55', 'Sp. Atk': '75', 'Sp. Def': '65', 'Speed': '30'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0044,Gloom,Grass Poison,"{'Total': '395', 'HP': '60', 'Attack': '65', 'Defense': '70', 'Sp. Atk': '85', 'Sp. Def': '75', 'Speed': '40'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0045,Vileplume,Grass Poison,"{'Total': '490', 'HP': '75', 'Attack': '80', 'Defense': '85', 'Sp. Atk': '110', 'Sp. Def': '90', 'Speed': '50'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0046,Paras,Bug Grass,"{'Total': '285', 'HP': '35', 'Attack': '70', 'Defense': '55', 'Sp. Atk': '45', 'Sp. Def': '55', 'Speed': '25'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0047,Parasect,Bug Grass,"{'Total': '405', 'HP': '60', 'Attack': '95', 'Defense': '80', 'Sp. Atk': '60', 'Sp. Def': '80', 'Speed': '30'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0048,Venonat,Bug Poison,"{'Total': '305', 'HP': '60', 'Attack': '55', 'Defense': '50', 'Sp. Atk': '40', 'Sp. Def': '55', 'Speed': '45'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0049,Venomoth,Bug Poison,"{'Total': '450', 'HP': '70', 'Attack': '65', 'Defense': '60', 'Sp. Atk': '90', 'Sp. Def': '75', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0050,Diglett,Ground ,"{'Total': '265', 'HP': '10', 'Attack': '55', 'Defense': '25', 'Sp. Atk': '35', 'Sp. Def': '45', 'Speed': '95'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0050,Diglett Alolan Diglett,Ground Steel,"{'Total': '265', 'HP': '10', 'Attack': '55', 'Defense': '30', 'Sp. Atk': '35', 'Sp. Def': '45', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0051,Dugtrio,Ground ,"{'Total': '425', 'HP': '35', 'Attack': '100', 'Defense': '50', 'Sp. Atk': '50', 'Sp. Def': '70', 'Speed': '120'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0051,Dugtrio Alolan Dugtrio,Ground Steel,"{'Total': '425', 'HP': '35', 'Attack': '100', 'Defense': '60', 'Sp. Atk': '50', 'Sp. Def': '70', 'Speed': '110'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0052,Meowth,Normal ,"{'Total': '290', 'HP': '40', 'Attack': '45', 'Defense': '35', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0052,Meowth Alolan Meowth,Dark ,"{'Total': '290', 'HP': '40', 'Attack': '35', 'Defense': '35', 'Sp. Atk': '50', 'Sp. Def': '40', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0052,Meowth Galarian Meowth,Steel ,"{'Total': '290', 'HP': '50', 'Attack': '65', 'Defense': '55', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '40'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0053,Persian,Normal ,"{'Total': '440', 'HP': '65', 'Attack': '70', 'Defense': '60', 'Sp. Atk': '65', 'Sp. Def': '65', 'Speed': '115'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0053,Persian Alolan Persian,Dark ,"{'Total': '440', 'HP': '65', 'Attack': '60', 'Defense': '60', 'Sp. Atk': '75', 'Sp. Def': '65', 'Speed': '115'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0054,Psyduck,Water ,"{'Total': '320', 'HP': '50', 'Attack': '52', 'Defense': '48', 'Sp. Atk': '65', 'Sp. Def': '50', 'Speed': '55'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0055,Golduck,Water ,"{'Total': '500', 'HP': '80', 'Attack': '82', 'Defense': '78', 'Sp. Atk': '95', 'Sp. Def': '80', 'Speed': '85'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0056,Mankey,Fighting ,"{'Total': '305', 'HP': '40', 'Attack': '80', 'Defense': '35', 'Sp. Atk': '35', 'Sp. Def': '45', 'Speed': '70'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0057,Primeape,Fighting ,"{'Total': '455', 'HP': '65', 'Attack': '105', 'Defense': '60', 'Sp. Atk': '60', 'Sp. Def': '70', 'Speed': '95'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0058,Growlithe,Fire ,"{'Total': '350', 'HP': '55', 'Attack': '70', 'Defense': '45', 'Sp. Atk': '70', 'Sp. Def': '50', 'Speed': '60'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0058,Growlithe Hisuian Growlithe,Fire Rock,"{'Total': '350', 'HP': '60', 'Attack': '75', 'Defense': '45', 'Sp. Atk': '65', 'Sp. Def': '50', 'Speed': '55'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0059,Arcanine,Fire ,"{'Total': '555', 'HP': '90', 'Attack': '110', 'Defense': '80', 'Sp. Atk': '100', 'Sp. Def': '80', 'Speed': '95'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0059,Arcanine Hisuian Arcanine,Fire Rock,"{'Total': '555', 'HP': '95', 'Attack': '115', 'Defense': '80', 'Sp. Atk': '95', 'Sp. Def': '80', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0060,Poliwag,Water ,"{'Total': '300', 'HP': '40', 'Attack': '50', 'Defense': '40', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0061,Poliwhirl,Water ,"{'Total': '385', 'HP': '65', 'Attack': '65', 'Defense': '65', 'Sp. Atk': '50', 'Sp. Def': '50', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0062,Poliwrath,Water Fighting,"{'Total': '510', 'HP': '90', 'Attack': '95', 'Defense': '95', 'Sp. Atk': '70', 'Sp. Def': '90', 'Speed': '70'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0063,Abra,Psychic ,"{'Total': '310', 'HP': '25', 'Attack': '20', 'Defense': '15', 'Sp. Atk': '105', 'Sp. Def': '55', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0064,Kadabra,Psychic ,"{'Total': '400', 'HP': '40', 'Attack': '35', 'Defense': '30', 'Sp. Atk': '120', 'Sp. Def': '70', 'Speed': '105'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0065,Alakazam,Psychic ,"{'Total': '500', 'HP': '55', 'Attack': '50', 'Defense': '45', 'Sp. Atk': '135', 'Sp. Def': '95', 'Speed': '120'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0065,Alakazam Mega Alakazam,Psychic ,"{'Total': '600', 'HP': '55', 'Attack': '50', 'Defense': '65', 'Sp. Atk': '175', 'Sp. Def': '105', 'Speed': '150'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0066,Machop,Fighting ,"{'Total': '305', 'HP': '70', 'Attack': '80', 'Defense': '50', 'Sp. Atk': '35', 'Sp. Def': '35', 'Speed': '35'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0067,Machoke,Fighting ,"{'Total': '405', 'HP': '80', 'Attack': '100', 'Defense': '70', 'Sp. Atk': '50', 'Sp. Def': '60', 'Speed': '45'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0068,Machamp,Fighting ,"{'Total': '505', 'HP': '90', 'Attack': '130', 'Defense': '80', 'Sp. Atk': '65', 'Sp. Def': '85', 'Speed': '55'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0069,Bellsprout,Grass Poison,"{'Total': '300', 'HP': '50', 'Attack': '75', 'Defense': '35', 'Sp. Atk': '70', 'Sp. Def': '30', 'Speed': '40'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0070,Weepinbell,Grass Poison,"{'Total': '390', 'HP': '65', 'Attack': '90', 'Defense': '50', 'Sp. Atk': '85', 'Sp. Def': '45', 'Speed': '55'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0071,Victreebel,Grass Poison,"{'Total': '490', 'HP': '80', 'Attack': '105', 'Defense': '65', 'Sp. Atk': '100', 'Sp. Def': '70', 'Speed': '70'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0072,Tentacool,Water Poison,"{'Total': '335', 'HP': '40', 'Attack': '40', 'Defense': '35', 'Sp. Atk': '50', 'Sp. Def': '100', 'Speed': '70'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0073,Tentacruel,Water Poison,"{'Total': '515', 'HP': '80', 'Attack': '70', 'Defense': '65', 'Sp. Atk': '80', 'Sp. Def': '120', 'Speed': '100'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0074,Geodude,Rock Ground,"{'Total': '300', 'HP': '40', 'Attack': '80', 'Defense': '100', 'Sp. Atk': '30', 'Sp. Def': '30', 'Speed': '20'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0074,Geodude Alolan Geodude,Rock Electric,"{'Total': '300', 'HP': '40', 'Attack': '80', 'Defense': '100', 'Sp. Atk': '30', 'Sp. Def': '30', 'Speed': '20'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0075,Graveler,Rock Ground,"{'Total': '390', 'HP': '55', 'Attack': '95', 'Defense': '115', 'Sp. Atk': '45', 'Sp. Def': '45', 'Speed': '35'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0075,Graveler Alolan Graveler,Rock Electric,"{'Total': '390', 'HP': '55', 'Attack': '95', 'Defense': '115', 'Sp. Atk': '45', 'Sp. Def': '45', 'Speed': '35'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0076,Golem,Rock Ground,"{'Total': '495', 'HP': '80', 'Attack': '120', 'Defense': '130', 'Sp. Atk': '55', 'Sp. Def': '65', 'Speed': '45'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0076,Golem Alolan Golem,Rock Electric,"{'Total': '495', 'HP': '80', 'Attack': '120', 'Defense': '130', 'Sp. Atk': '55', 'Sp. Def': '65', 'Speed': '45'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0077,Ponyta,Fire ,"{'Total': '410', 'HP': '50', 'Attack': '85', 'Defense': '55', 'Sp. Atk': '65', 'Sp. Def': '65', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0077,Ponyta Galarian Ponyta,Psychic ,"{'Total': '410', 'HP': '50', 'Attack': '85', 'Defense': '55', 'Sp. Atk': '65', 'Sp. Def': '65', 'Speed': '90'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0078,Rapidash,Fire ,"{'Total': '500', 'HP': '65', 'Attack': '100', 'Defense': '70', 'Sp. Atk': '80', 'Sp. Def': '80', 'Speed': '105'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0078,Rapidash Galarian Rapidash,Psychic Fairy,"{'Total': '500', 'HP': '65', 'Attack': '100', 'Defense': '70', 'Sp. Atk': '80', 'Sp. Def': '80', 'Speed': '105'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0079,Slowpoke,Water Psychic,"{'Total': '315', 'HP': '90', 'Attack': '65', 'Defense': '65', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '15'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
0079,Slowpoke Galarian Slowpoke,Psychic ,"{'Total': '315', 'HP': '90', 'Attack': '65', 'Defense': '65', 'Sp. Atk': '40', 'Sp. Def': '40', 'Speed': '15'}","{'ability1': None, 'ability2': None, 'hidden_ability': None}",,,"('Kanto', 1)"
